Latitude	Longitude	stopID	stopName
43.5195	-80.2077	0511	Gordon St. at Harts Lane
43.5181	-80.2058	0512	1155 Gordon St. 
43.5166	-80.2037	0513	Gordon St. at Edinburgh Rd. S.
43.5138	-80.1999	0514	Arkell Rd. at Gordon St. 
43.5162	-80.196	0515	Arkell Rd. at Ridgeway Ave.
43.5176	-80.191	0516	Summerfield Dr. at Amsterdam Cres.
43.5155	-80.1886	0517	Summerfield Dr. at Cummings Crt.
43.5164	-80.1847	0518	Summerfield Dr. at Bright Lane
43.5198	-80.1801	0519	Summerfield Dr. at Victoria Rd. S.
43.515	-80.1755	0520	Frederick Dr. at Waterford Dr. 
43.5117	-80.1772	0521	Goodwin Dr. at Ray Cres.
43.5089	-80.181	0522	Goodwin Dr. at Orin Reid Park
43.506	-80.1848	0523	Goodwin Dr. at Sinclair St.
43.5043	-80.1867	0524	Goodwin Dr. at Darling Cres. 
43.5032	-80.188	0525	Goodwin Dr. at Eugene Dr. 
43.5041	-80.1902	0526	Farley Dr. at Porter Dr.
43.5084	-80.1923	0527	Pine Ridge Dr. at Periwinkle Way
43.509	-80.1956	0528	Gordon St. at Lowes Rd.
43.5118	-80.1969	0529	Gordon St. at Continuing Education
43.514	-80.1996	0530	Gordon St. at Arkell Rd. 
43.5166	-80.2032	0531	Gordon St. at Valley Rd.
43.5185	-80.2057	0532	Gordon St. at Landsdown Dr.
43.5196	-80.2075	0533	Gordon St. at Harts Lane
43.5209	-80.2099	0534	1030 Gordon St.
43.5227	-80.2137	0535	Gordon St. at Kortright Rd. 
43.5243	-80.2169	0536	Gordon St. at Hands Dr.
43.5258	-80.2218	0537	Gordon St. at Monticello Cres. 
43.5291	-80.2238	0538	University Centre
43.5309	-80.2308	0539	Gordon St. at Vet College
43.5328	-80.2333	0540	Gordon St. at Macdonald Stewart Art Centre
43.537	-80.2392	0541	Gordon St. at Dormie Lane
43.5381	-80.2409	0542	Gordon St. at Water St.
43.541	-80.2452	0543	Gordon St. at Wellington St.
43.5419	-80.2475	0544	Gordon St. at Harvey's
43.5434	-80.2491	0545	City Hall
43.5458	-80.2455	0546	Guelph Central Station
43.529	-80.2238	0600	University Centre
43.5275	-80.2264	0601	Gordon St. at Stone Rd. W. 
43.5252	-80.2211	0602	Gordon St. at Harvard Rd.
43.524	-80.2233	0603	Harvard Rd. at Shakespeare Arms
43.5206	-80.2284	0604	Harvard Rd. at Princeton Pl.
43.5181	-80.2284	0605	Harvard Rd. at Youngman Dr. 
43.5174	-80.2304	0606	Edinburgh Rd. at Laurelwood Crt.
43.5175	-80.2372	0607	Stone Rd. W. at Stone Road Mall
43.5175	-80.2385	0608	Scottsdale Dr. at Stone Rd. W.
